R_TAD,partner_display,RGG_partner,pair_id,Outcome,Notes,Kd_uM,Kd_uM_err,pKd_PPT,pKd_err_PPT,Pred_log10_negB22_hybrid,Pred_log10_negB22_base,Sim_log10_negB22_corr1,Sim_log10_negB22_corr2,Sim_B22_raw,Sim_B22_corr_Hummer,Sim_B22_corr_Ganguly
foxo4_cr3,THOC4 C-term,thoc4_cter,thoc4_cter__foxo4_cr3,Kd_fit,,196.027,19.058,3.7076841064831627,0.042222674611722744,3.954689289366188,3.9358324667402687,4.194535258523521,4.2329835637836135,-12057.817188608757,-15650.75375886436,-17099.505994397998
foxo6_cr3,THOC4 C-term,thoc4_cter,thoc4_cter__foxo6_cr3,No_Kd,Insufficient data (25 µM spectra empty; only 50 µM point),,,,,3.831675390047205,3.847033490662118,4.064567526088928,4.08030072371478,-8914.536754434741,-11602.926097160527,-12030.97221233148
lef1_nter,THOC4 C-term,thoc4_cter,thoc4_cter__lef1_nter,NB,Same / no specific binding,,,,,3.610929801706345,3.658402390126835,3.810747290748916,3.8789807041715063,-5777.131678643207,-6467.661629926246,-7567.9926946520545
tfe3_cter,THOC4 C-term,thoc4_cter,thoc4_cter__tfe3_cter,LB,Line broadening; peaks moving back,,,,,3.7050596975057664,3.758750651248088,3.970887834811726,3.992290731121897,-7419.281679235535,-9351.641182211964,-9824.05377665104
atf4_tad,THOC4 C-term,thoc4_cter,thoc4_cter__atf4_tad,Kd_fit,,345.358,47.327,3.461730479383868,0.0595146339306899,3.589114570603547,3.642805524345869,4.027199940792557,4.0762014001102935,-8838.211473406269,-10646.33041909694,-11917.945637698387
foxo4_cr3,THOC4 N-term,thoc4_nter,thoc4_nter__foxo4_cr3,Kd_fit,,48.466,1.64,4.3145628220270265,0.014695723813009801,4.126077408391066,4.103367373492881,4.328899360324908,4.420000796427558,-16828.482550539877,-21325.50676896498,-26302.72815396304
foxo6_cr3,THOC4 N-term,thoc4_nter,thoc4_nter__foxo6_cr3,Kd_fit,,67.224,2.217,4.172475649464825,0.01432272501457083,3.992764182606512,4.00001209093065,4.1846374377755975,4.239394622346374,-12163.855276745488,-15298.09796755954,-17353.801373855014
lef1_nter,THOC4 N-term,thoc4_nter,thoc4_nter__lef1_nter,NB,Minimal changes / likely weak; no fit,,,,,3.8179649326294034,3.838897762865393,3.9604774277860577,4.03197198500092,-8054.299214330579,-9130.13980666566,-10763.957764148265
tfe3_cter,THOC4 N-term,thoc4_nter,thoc4_nter__tfe3_cter,Kd_fit,,250.797,41.943,3.600677662782462,0.07263090648798866,3.9158480790748977,3.9501869573882193,4.081109175519955,4.132963378176712,-9960.097692746604,-12053.389075252906,-13581.989118191155
atf4_tad,THOC4 N-term,thoc4_nter,thoc4_nter__atf4_tad,Kd_fit,,183.665,6.618,3.735973596852019,0.01564893083187173,3.8059575992550623,3.840655443392013,4.166169561961111,4.249895633651209,-12308.653215629482,-14661.201477522092,-17778.52118791667
foxo4_cr3,G3BP1,g3bp1_rgg,g3bp1_rgg__foxo4_cr3,Kd_fit,,676.877,92.77,3.169490242798574,0.059522629792657565,4.103685982273023,4.062240193855328,3.916926357869648,3.894226468668608,-6118.64306953783,-8258.978924507475,-7838.382791712092
foxo6_cr3,G3BP1,g3bp1_rgg,g3bp1_rgg__foxo6_cr3,Kd_fit,,273.583,55.275,3.5629108924620514,0.08774531855854437,3.873202864164008,3.8875937957509454,3.822737133398341,3.817907382977912,-5178.5440548452325,-6648.70606348502,-6575.176011363916
lef1_nter,G3BP1,g3bp1_rgg,g3bp1_rgg__lef1_nter,NB,No specific binding (8 eq),,,,,3.566611631033412,3.620302584775733,3.651913298844687,3.6655187412878103,-3773.027395316056,-4486.558127867038,-4629.336405117328
tfe3_cter,G3BP1,g3bp1_rgg,g3bp1_rgg__tfe3_cter,LB,Line broadening,,,,,3.606660723108628,3.660351676850949,3.7092508511326714,3.6916217559156017,-3991.008921839946,-5119.774714511797,-4916.111857271318
atf4_tad,G3BP1,g3bp1_rgg,g3bp1_rgg__atf4_tad,Kd_fit,,688.447,116.344,3.16212948822263,0.07339353240344126,3.51565612170083,3.569347075443152,3.762713742425943,3.761061928949404,-4594.200351381458,-5790.469020267334,-5768.487142368077
foxo4_cr3,TAF15,taf15_rgg,taf15_rgg__foxo4_cr3,LB,Line broadening; peaks return back; TITAN not suitable,,,,,3.58431805548496,3.572605393017569,3.448639770245937,3.3859388760646185,-2026.0921443263103,-2809.5694391184365,-2431.8617173212724
foxo6_cr3,TAF15,taf15_rgg,taf15_rgg__foxo6_cr3,LB,Same as FOXO4 (line broadening),,,,,3.7452611606309527,3.7534443997583495,3.463214627945662,3.4253176319784164,-2177.355299358736,-2905.458174557699,-2662.6717584772064
lef1_nter,TAF15,taf15_rgg,taf15_rgg__lef1_nter,NB,Same / no specific binding,,,,,3.672617720381649,3.726308674123971,3.331191867867951,3.3407325567807797,-1840.0187551968847,-2143.8375223986377,-2191.454998150783
tfe3_cter,TAF15,taf15_rgg,taf15_rgg__tfe3_cter,NB,No specific interaction,,,,,3.7079582812300336,3.761649234972355,3.413516789273768,3.330546223570614,-1769.5148498841197,-2591.294595580352,-2140.652752250032
atf4_tad,TAF15,taf15_rgg,taf15_rgg__atf4_tad,NB,No binding (NMR titration),,,,,3.6885692990622,3.7422602528045217,3.48018963736889,3.4642307206725373,-2451.852708655757,-3021.2706889269675,-2912.263858943559
